Aware
Thorsen
Martinsen
Haukanes
Edvardsen
Juvland
Halsvik
Ekren
Romero
Jørgensen
Strand
Wessels
Hilde
Nallbani
Nallbani
Husa
Gjerald
Hodne-Høgheim
Stavland
Javeed
Løvdal
Yilmaz
Tollefsen
Nordheim
Hansen
Thorsen
Mbatu
Granberg
Eliasson
Gustafsson
Bjørsvik
Pavilovskyte
Grindheim
Butay
Shadrick
Osman
Hagness
Nilsen
Zanhour
Margol
Soriano
Seeland
Gudmestad
Moen
Olsen
Bray
Tanaskovic
Shifare
Koloska
Lamouri
Wood
Warrener
Sulejmani
Andersen
Miller
Gilje
Fernandez
Currie
Nuh
Parneborg
Kvalvåg
Markanovic
Jannaouni
Myr
Kingsrød
Sveen
Hansen
Bennett
Tyteland
Svendsen
Josefsen
Schutz
Sørensen
Langeland
Hagevik
Lindberg
Borch
Christoffersen
Nilsen
Sørensen
Bielaia
Bredesen
Berdsbakk
Said
Gonzalez
Rasmussen
Lundberg
Djupvik
Hermansen
Jonassen
Rydningen
